timestamp_utc,camera_id,camera_name,anomaly_type,missing_equipment,observed_equipment,confidence,screenshot_path
2026-05-10T08:39:29.341195+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:39:32.233832+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:39:32.289411+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:39:33.318963+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:39:33.972015+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:39:34.943931+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:39:35.005825+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:39:38.050231+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:39:38.097893+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:39:38.299431+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:39:39.823172+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:40:52.555777+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:40:57.996440+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:40:58.044344+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:40:58.346528+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:40:58.674191+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:40:59.953465+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:41:00.251589+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:41:00.422364+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:41:03.818138+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
